state,electorate,postcode,population,total_postcode_proportion,proportion
VIC,Flinders,3933,872,872,1,Rural
VIC,Flinders,3927,1245,1245,1,Rural
VIC,Flinders,3943,1522,1522,1,Rural
VIC,Flinders,3937,1533,1533,1,Rural
VIC,Flinders,3911,1670,2597,0.64,Rural
VIC,Flinders,3942,1984,1984,1,Rural
VIC,Flinders,3938,2395,2395,1,Rural
VIC,Flinders,3919,2404,2404,1,Rural
VIC,Flinders,3918,2653,2653,1,Rural
VIC,Flinders,3913,2679,2679,1,Rural
VIC,Flinders,3926,2850,2850,1,Rural
VIC,Flinders,3940,3931,3931,1,Rural
VIC,Flinders,3915,7354,7354,1,Rural
VIC,Flinders,3912,8476,11219,0.76,Rural
VIC,Flinders,3936,9247,9247,1,Rural
VIC,Flinders,3941,9734,9734,1,Rural
VIC,Flinders,3939,11798,11798,1,Rural
VIC,Flinders,3934,13669,13669,1,Rural
VIC,Flinders,3931,18497,18497,1,Rural
QLD,Flynn,4721,2,2274,0,Rural
QLD,Flynn,4700,64,11825,0.01,Rural
QLD,Flynn,4605,67,2761,0.02,Rural
QLD,Flynn,4694,117,117,1,Rural
QLD,Flynn,4712,130,130,1,Rural
QLD,Flynn,4611,136,194,0.7,Rural
QLD,Flynn,4676,176,176,1,Rural
QLD,Flynn,4612,296,296,1,Rural
QLD,Flynn,4699,315,315,1,Rural
QLD,Flynn,4673,341,341,1,Rural
QLD,Flynn,4713,361,361,1,Rural
QLD,Flynn,4613,390,390,1,Rural
QLD,Flynn,4627,421,421,1,Rural
QLD,Flynn,4608,432,661,0.65,Rural
QLD,Flynn,4709,511,511,1,Rural
QLD,Flynn,4610,533,10391,0.05,Rural
QLD,Flynn,4719,585,585,1,Rural
QLD,Flynn,4678,653,653,1,Rural
QLD,Flynn,4716,660,660,1,Rural
QLD,Flynn,4420,846,846,1,Rural
QLD,Flynn,4695,889,889,1,Rural
QLD,Flynn,4723,1009,1009,1,Rural
QLD,Flynn,4722,1061,1061,1,Rural
QLD,Flynn,4621,1080,1080,1,Rural
QLD,Flynn,4674,1090,1090,1,Rural
QLD,Flynn,4626,1290,1290,1,Rural
QLD,Flynn,4718,1504,1504,1,Rural
QLD,Flynn,4606,1601,1601,1,Rural
QLD,Flynn,4630,1802,1802,1,Rural
QLD,Flynn,4625,2029,2029,1,Rural
QLD,Flynn,4714,2076,2076,1,Rural
QLD,Flynn,4677,2393,2393,1,Rural
QLD,Flynn,4717,2642,2642,1,Rural
QLD,Flynn,4671,4008,4222,0.95,Rural
QLD,Flynn,4715,4474,4474,1,Rural
QLD,Flynn,4670,7135,56624,0.13,Rural
QLD,Flynn,4720,8221,8221,1,Rural
QLD,Flynn,4702,14438,18644,0.77,Rural
QLD,Flynn,4680,34458,34458,1,Rural
QLD,Forde,4118,3,18216,0,Outer Metropolitan
QLD,Forde,4280,165,10740,0.02,Outer Metropolitan
QLD,Forde,4210,754,11005,0.07,Outer Metropolitan
QLD,Forde,4205,3347,3347,1,Outer Metropolitan
QLD,Forde,4125,3943,5047,0.78,Outer Metropolitan
QLD,Forde,4129,3988,3988,1,Outer Metropolitan
QLD,Forde,4208,4514,10598,0.43,Outer Metropolitan
QLD,Forde,4131,4972,5642,0.88,Outer Metropolitan
QLD,Forde,4124,5936,12871,0.46,Outer Metropolitan
QLD,Forde,4130,6079,6079,1,Outer Metropolitan
QLD,Forde,4133,10670,10670,1,Outer Metropolitan
QLD,Forde,4128,10916,10916,1,Outer Metropolitan
QLD,Forde,4209,16051,26146,0.61,Outer Metropolitan
QLD,Forde,4207,28782,35130,0.82,Outer Metropolitan
WA,Forrest,6240,213,213,1,Rural
WA,Forrest,6221,291,291,1,Rural
WA,Forrest,6218,297,297,1,Rural
WA,Forrest,6251,305,305,1,Rural
WA,Forrest,6227,326,326,1,Rural
WA,Forrest,6288,351,351,1,Rural
WA,Forrest,6229,358,358,1,Rural
WA,Forrest,6286,422,422,1,Rural
WA,Forrest,6253,471,471,1,Rural
WA,Forrest,6226,526,526,1,Rural
WA,Forrest,6224,840,840,1,Rural
WA,Forrest,6282,967,967,1,Rural
WA,Forrest,6275,973,973,1,Rural
WA,Forrest,6284,1251,1251,1,Rural
WA,Forrest,6290,1368,1368,1,Rural
WA,Forrest,6236,1470,1470,1,Rural
WA,Forrest,6237,1793,1793,1,Rural
WA,Forrest,6271,2029,2029,1,Rural
WA,Forrest,6239,3005,3005,1,Rural
WA,Forrest,6220,3268,3268,1,Rural
WA,Forrest,6281,4446,4446,1,Rural
WA,Forrest,6285,5284,5284,1,Rural
WA,Forrest,6232,6719,6719,1,Rural
WA,Forrest,6233,11425,11425,1,Rural
WA,Forrest,6280,18166,18166,1,Rural
WA,Forrest,6230,27995,27995,1,Rural
NSW,Fowler,2175,57,1330,0.04,Outer Metropolitan
NSW,Fowler,2161,150.5,17852,0.01,Outer Metropolitan
NSW,Fowler,2177,2171,10799,0.2,Outer Metropolitan
NSW,Fowler,2163,3177,5417,0.59,Outer Metropolitan
NSW,Fowler,2165,4685,25209,0.19,Outer Metropolitan
NSW,Fowler,2170,28472.5,61708,0.46,Outer Metropolitan
NSW,Fowler,2166,31576,32865,0.96,Outer Metropolitan
NSW,Fowler,2176,33367,34054,0.98,Outer Metropolitan
TAS,Franklin,7025,191,1462,0.13,Outer Metropolitan
TAS,Franklin,7163,199,199,1,Outer Metropolitan
TAS,Franklin,7023,269,269,1,Outer Metropolitan
TAS,Franklin,7055,285,285,1,Outer Metropolitan
TAS,Franklin,7024,380,380,1,Outer Metropolitan
TAS,Franklin,7162,553,553,1,Outer Metropolitan
TAS,Franklin,7017,597,3917,0.15,Outer Metropolitan
TAS,Franklin,7117,652,652,1,Outer Metropolitan
TAS,Franklin,7022,684,684,1,Outer Metropolitan
TAS,Franklin,7113,794,794,1,Outer Metropolitan
TAS,Franklin,7155,805,805,1,Outer Metropolitan
TAS,Franklin,7016,1526,1526,1,Outer Metropolitan
TAS,Franklin,7116,1756,1756,1,Outer Metropolitan
TAS,Franklin,7021,1805,1805,1,Outer Metropolitan
TAS,Franklin,7020,1901,1901,1,Outer Metropolitan
TAS,Franklin,7150,2043,2218,0.92,Outer Metropolitan
TAS,Franklin,7112,2208,2208,1,Outer Metropolitan
TAS,Franklin,7170,3889,3889,1,Outer Metropolitan
TAS,Franklin,7019,4011,4011,1,Outer Metropolitan
TAS,Franklin,7054,5050,6163,0.82,Outer Metropolitan
TAS,Franklin,7052,5329,5329,1,Outer Metropolitan
TAS,Franklin,7109,6269,6328,0.99,Outer Metropolitan
TAS,Franklin,7050,7756,8901,0.87,Outer Metropolitan
TAS,Franklin,7015,8232,8232,1,Outer Metropolitan
TAS,Franklin,7018,16120,16120,1,Outer Metropolitan
WA,Fremantle,6161,38,38,1,Inner Metropolitan
WA,Fremantle,6159,2319,2319,1,Inner Metropolitan
WA,Fremantle,6157,4959,9960,0.5,Inner Metropolitan
WA,Fremantle,6158,5254,5254,1,Inner Metropolitan
WA,Fremantle,6160,5814,5814,1,Inner Metropolitan
WA,Fremantle,6166,6601,6601,1,Inner Metropolitan
WA,Fremantle,6162,7847,7847,1,Inner Metropolitan
WA,Fremantle,6163,29553,33667,0.88,Inner Metropolitan
WA,Fremantle,6164,31856,31856,1,Inner Metropolitan
VIC,Gellibrand,3026,33,33,1,Inner Metropolitan
VIC,Gellibrand,3027,3355,3355,1,Inner Metropolitan
VIC,Gellibrand,3012,6163,16634,0.37,Inner Metropolitan
VIC,Gellibrand,3025,8103,8103,1,Inner Metropolitan
VIC,Gellibrand,3011,8699,13983,0.62,Inner Metropolitan
VIC,Gellibrand,3018,9367,9367,1,Inner Metropolitan
VIC,Gellibrand,3013,10432,10432,1,Inner Metropolitan
VIC,Gellibrand,3016,11449,11449,1,Inner Metropolitan
VIC,Gellibrand,3015,12341,12341,1,Inner Metropolitan
VIC,Gellibrand,3030,18729,57053,0.33,Inner Metropolitan
VIC,Gellibrand,3028,18794,18794,1,Inner Metropolitan
NSW,Gilmore,2545,18,862,0.02,Rural
NSW,Gilmore,2622,25,2666,0.01,Rural
NSW,Gilmore,2577,1088,11101,0.1,Rural
NSW,Gilmore,2538,1797,1797,1,Rural
NSW,Gilmore,2534,3977,3977,1,Rural
NSW,Gilmore,2535,5759,5759,1,Rural
NSW,Gilmore,2537,8736,8736,1,Rural
NSW,Gilmore,2533,12042,12042,1,Rural
NSW,Gilmore,2536,13085,13085,1,Rural
NSW,Gilmore,2539,13609,13609,1,Rural
NSW,Gilmore,2541,17447,17447,1,Rural
NSW,Gilmore,2540,32239,32239,1,Rural
VIC,Gippsland,3871,45,2129,0.02,Rural
VIC,Gippsland,3852,78,78,1,Rural
VIC,Gippsland,3890,114,114,1,Rural
VIC,Gippsland,3891,139,139,1,Rural
VIC,Gippsland,3895,167,167,1,Rural
VIC,Gippsland,3966,170,541,0.31,Rural
VIC,Gippsland,3900,194,194,1,Rural
VIC,Gippsland,3889,229,229,1,Rural
VIC,Gippsland,3864,251,251,1,Rural
VIC,Gippsland,3887,258,258,1,Rural
VIC,Gippsland,3857,277,277,1,Rural
VIC,Gippsland,3896,286,286,1,Rural
VIC,Gippsland,3886,312,312,1,Rural
VIC,Gippsland,3902,329,329,1,Rural
VIC,Gippsland,3898,332,372,0.89,Rural
VIC,Gippsland,3865,344,344,1,Rural
VIC,Gippsland,3873,352,352,1,Rural
VIC,Gippsland,3874,451,451,1,Rural
VIC,Gippsland,3903,548,548,1,Rural
VIC,Gippsland,3859,639,639,1,Rural
VIC,Gippsland,3878,707,707,1,Rural
VIC,Gippsland,3856,718,718,1,Rural
VIC,Gippsland,3882,803,803,1,Rural
VIC,Gippsland,3892,819,819,1,Rural
VIC,Gippsland,3854,1109,1109,1,Rural
VIC,Gippsland,3870,1128,1188,0.95,Rural
VIC,Gippsland,3904,1153,1153,1,Rural
VIC,Gippsland,3869,1174,1174,1,Rural
VIC,Gippsland,3825,1244,15300,0.08,Rural
VIC,Gippsland,3885,1318,1318,1,Rural
VIC,Gippsland,3847,1722,1722,1,Rural
VIC,Gippsland,3858,2124,2124,1,Rural
VIC,Gippsland,3862,2527,2527,1,Rural
VIC,Gippsland,3888,2721,2721,1,Rural
VIC,Gippsland,3971,3100,3100,1,Rural
VIC,Gippsland,3851,3259,3259,1,Rural
VIC,Gippsland,3880,3387,3387,1,Rural
VIC,Gippsland,3842,3423,3423,1,Rural
VIC,Gippsland,3860,5282,5282,1,Rural
VIC,Gippsland,3909,6164,6164,1,Rural
VIC,Gippsland,3850,10487,10487,1,Rural
VIC,Gippsland,3840,12126,12126,1,Rural
VIC,Gippsland,3875,14007,14007,1,Rural
VIC,Gippsland,3844,20839,20839,1,Rural
VIC,Goldstein,3163,2177,19769,0.11,Inner Metropolitan
VIC,Goldstein,3192,2431,15861,0.15,Inner Metropolitan
VIC,Goldstein,3185,4463,9111,0.49,Inner Metropolitan
VIC,Goldstein,3190,5570,8078,0.69,Inner Metropolitan
VIC,Goldstein,3191,7579,7579,1,Inner Metropolitan
VIC,Goldstein,3162,8778,12570,0.7,Inner Metropolitan
VIC,Goldstein,3187,11752,11752,1,Inner Metropolitan
VIC,Goldstein,3188,12693,12693,1,Inner Metropolitan
VIC,Goldstein,3193,15239,15239,1,Inner Metropolitan
VIC,Goldstein,3186,17003,17003,1,Inner Metropolitan
VIC,Goldstein,3204,18863,20110,0.94,Inner Metropolitan
VIC,Gorton,3024,298,14169,0.02,Outer Metropolitan
VIC,Gorton,3427,1798,2142,0.84,Outer Metropolitan
VIC,Gorton,3021,3755,34110,0.11,Outer Metropolitan
VIC,Gorton,3335,4065,4065,1,Outer Metropolitan
VIC,Gorton,3030,4210,57053,0.07,Outer Metropolitan
VIC,Gorton,3338,14901,14901,1,Outer Metropolitan
VIC,Gorton,3037,20142,32535,0.62,Outer Metropolitan
VIC,Gorton,3337,23729,23729,1,Outer Metropolitan
VIC,Gorton,3023,30800,37035,0.83,Outer Metropolitan
NSW,Grayndler,2193,2367,9985,0.24,Inner Metropolitan
NSW,Grayndler,2044,3110,5628,0.55,Inner Metropolitan
NSW,Grayndler,2130,4627,4627,1,Inner Metropolitan
NSW,Grayndler,2045,4891,4891,1,Inner Metropolitan
NSW,Grayndler,2039,5596,5596,1,Inner Metropolitan
NSW,Grayndler,2048,5748,5748,1,Inner Metropolitan
NSW,Grayndler,2038,6293.5,6452,0.98,Inner Metropolitan
NSW,Grayndler,2131,6578.5,13286,0.5,Inner Metropolitan
NSW,Grayndler,2042,7011,13290,0.53,Inner Metropolitan
NSW,Grayndler,2049,7881,7881,1,Inner Metropolitan
NSW,Grayndler,2203,8690,9265,0.94,Inner Metropolitan
NSW,Grayndler,2204,11238,18368,0.61,Inner Metropolitan
NSW,Grayndler,2041,11256,11256,1,Inner Metropolitan
NSW,Grayndler,2040,15090,15090,1,Inner Metropolitan
NSW,Greenway,2762,1945,2697,0.72,Outer Metropolitan
NSW,Greenway,2146,3811,10532,0.36,Outer Metropolitan
NSW,Greenway,2765,4148.5,10456,0.4,Outer Metropolitan
NSW,Greenway,2769,4526,4526,1,Outer Metropolitan
NSW,Greenway,2145,4650,46398,0.1,Outer Metropolitan
NSW,Greenway,2155,5818.5,30525,0.19,Outer Metropolitan
NSW,Greenway,2763,14186,19445,0.73,Outer Metropolitan
NSW,Greenway,2768,16556,16556,1,Outer Metropolitan
NSW,Greenway,2148,19869.5,37407,0.53,Outer Metropolitan
NSW,Greenway,2147,24290,24290,1,Outer Metropolitan
SA,Grey,5552,67,67,1,Rural
SA,Grey,5720,85,85,1,Rural
SA,Grey,5734,86,86,1,Rural
SA,Grey,5732,93,93,1,Rural
SA,Grey,5416,105,105,1,Rural
SA,Grey,5601,106,106,1,Rural
SA,Grey,5118,111,13654,0.01,Rural
SA,Grey,5604,120,120,1,Rural
SA,Grey,5490,123,123,1,Rural
SA,Grey,5434,144,144,1,Rural
SA,Grey,5630,154,154,1,Rural
SA,Grey,5421,157,157,1,Rural
SA,Grey,5470,157,157,1,Rural
SA,Grey,5603,161,161,1,Rural
SA,Grey,5411,161,161,1,Rural
SA,Grey,5410,161,161,1,Rural
SA,Grey,5419,165,165,1,Rural
SA,Grey,5577,165,165,1,Rural
SA,Grey,5472,181,181,1,Rural
SA,Grey,5414,202,202,1,Rural
SA,Grey,5650,209,209,1,Rural
SA,Grey,5670,212,212,1,Rural
SA,Grey,5381,224,224,1,Rural
SA,Grey,5521,237,237,1,Rural
SA,Grey,5722,242,242,1,Rural
SA,Grey,5510,247,247,1,Rural
SA,Grey,5654,261,261,1,Rural
SA,Grey,5572,262,262,1,Rural
SA,Grey,5633,265,265,1,Rural
SA,Grey,5462,276,276,1,Rural
SA,Grey,5731,280,280,1,Rural
SA,Grey,5483,283,283,1,Rural
SA,Grey,5440,286,304,0.94,Rural
SA,Grey,5454,299,299,1,Rural
SA,Grey,5560,300,300,1,Rural
SA,Grey,5464,302,302,1,Rural
SA,Grey,5415,305,305,1,Rural
SA,Grey,5642,321,321,1,Rural
SA,Grey,5452,331,331,1,Rural
SA,Grey,5580,341,341,1,Rural
SA,Grey,5652,352,352,1,Rural
SA,Grey,5555,410,410,1,Rural
SA,Grey,5460,415,415,1,Rural
SA,Grey,5481,418,418,1,Rural
SA,Grey,5581,425,425,1,Rural
SA,Grey,5495,428,428,1,Rural
SA,Grey,5482,432,432,1,Rural
SA,Grey,5520,433,433,1,Rural
SA,Grey,5582,438,438,1,Rural
SA,Grey,5724,454,454,1,Rural
SA,Grey,5451,502,502,1,Rural
SA,Grey,5583,528,528,1,Rural
SA,Grey,5413,528,528,1,Rural
SA,Grey,5550,547,547,1,Rural
SA,Grey,5485,561,561,1,Rural
SA,Grey,5473,570,570,1,Rural
SA,Grey,5480,599,599,1,Rural
SA,Grey,5401,613,613,1,Rural
SA,Grey,5431,644,644,1,Rural
SA,Grey,5400,670,670,1,Rural
SA,Grey,5570,700,700,1,Rural
SA,Grey,5576,704,704,1,Rural
SA,Grey,5640,738,738,1,Rural
SA,Grey,5631,751,751,1,Rural
SA,Grey,5371,766,950,0.81,Rural
SA,Grey,5602,778,778,1,Rural
SA,Grey,5641,788,788,1,Rural
SA,Grey,5412,938,938,1,Rural
SA,Grey,5723,977,977,1,Rural
SA,Grey,5433,1032,1032,1,Rural
SA,Grey,5374,1041,1041,1,Rural
SA,Grey,5502,1140,1140,1,Rural
SA,Grey,5609,1194,1194,1,Rural
SA,Grey,5523,1238,1238,1,Rural
SA,Grey,5417,1286,1286,1,Rural
SA,Grey,5522,1293,1293,1,Rural
SA,Grey,5491,1318,1318,1,Rural
SA,Grey,5422,1325,1325,1,Rural
SA,Grey,5571,1375,1375,1,Rural
SA,Grey,5605,1451,1451,1,Rural
SA,Grey,5573,1464,1464,1,Rural
SA,Grey,5680,1680,1680,1,Rural
SA,Grey,5710,1790,1790,1,Rural
SA,Grey,5461,1913,1913,1,Rural
SA,Grey,5725,2167,2167,1,Rural
SA,Grey,5690,2277,2277,1,Rural
SA,Grey,5575,2316,2316,1,Rural
SA,Grey,5556,3233,3233,1,Rural
SA,Grey,5453,3394,3394,1,Rural
SA,Grey,5607,3395,3395,1,Rural
SA,Grey,5558,3724,3724,1,Rural
SA,Grey,5554,4004,4004,1,Rural
SA,Grey,5501,4709,4709,1,Rural
SA,Grey,5600,4925,4925,1,Rural
SA,Grey,5700,7915,7915,1,Rural
SA,Grey,5608,9212,9212,1,Rural
SA,Grey,5606,10351,10351,1,Rural
SA,Grey,5540,11223,11223,1,Rural
QLD,Griffith,4172,1109,2671,0.42,Inner Metropolitan
QLD,Griffith,4122,1403,28886,0.05,Inner Metropolitan
QLD,Griffith,4102,4582,4582,1,Inner Metropolitan
QLD,Griffith,4120,6314,6314,1,Inner Metropolitan
QLD,Griffith,4121,7290,17607,0.41,Inner Metropolitan
QLD,Griffith,4169,9365,9365,1,Inner Metropolitan
QLD,Griffith,4171,11100,11100,1,Inner Metropolitan
QLD,Griffith,4151,11496,11496,1,Inner Metropolitan
QLD,Griffith,4101,14746,14746,1,Inner Metropolitan
QLD,Griffith,4170,16848,16966,0.99,Inner Metropolitan
QLD,Griffith,4152,17574,31672,0.55,Inner Metropolitan
QLD,Groom,4402,2,213,0.01,Provincial
QLD,Groom,4406,5,1033,0,Provincial
QLD,Groom,4405,10,9329,0,Provincial
QLD,Groom,4355,12,2178,0.01,Provincial
QLD,Groom,4407,86,434,0.2,Provincial
QLD,Groom,4360,120,387,0.31,Provincial
QLD,Groom,4353,156,313,0.5,Provincial
QLD,Groom,4404,191,241,0.79,Provincial
QLD,Groom,4364,224,224,1,Provincial
QLD,Groom,4363,407,407,1,Provincial
QLD,Groom,4403,563,563,1,Provincial
QLD,Groom,4354,810,810,1,Provincial
QLD,Groom,4359,960,960,1,Provincial
QLD,Groom,4400,1341,1341,1,Provincial
QLD,Groom,4358,1425,1584,0.9,Provincial
QLD,Groom,4356,3588,3588,1,Provincial
QLD,Groom,4401,3724,3724,1,Provincial
QLD,Groom,4352,15440,19894,0.78,Provincial
QLD,Groom,4350,72945,72945,1,Provincial
WA,Hasluck,6558,538,538,1,Outer Metropolitan
WA,Hasluck,6072,641,641,1,Outer Metropolitan
WA,Hasluck,6074,766,766,1,Outer Metropolitan
WA,Hasluck,6556,1373,1373,1,Outer Metropolitan
WA,Hasluck,6083,1879,2552,0.74,Outer Metropolitan
WA,Hasluck,6082,2167,2167,1,Outer Metropolitan
WA,Hasluck,6073,2340,2340,1,Outer Metropolitan
WA,Hasluck,6071,2631,2631,1,Outer Metropolitan
WA,Hasluck,6070,2667,2667,1,Outer Metropolitan
WA,Hasluck,6057,3214,11114,0.29,Outer Metropolitan
WA,Hasluck,6081,3327,3327,1,Outer Metropolitan
WA,Hasluck,6109,6264,6762,0.93,Outer Metropolitan
WA,Hasluck,6055,6272,9927,0.63,Outer Metropolitan
WA,Hasluck,6058,8326,8330,1,Outer Metropolitan
WA,Hasluck,6107,10349,22076,0.47,Outer Metropolitan
WA,Hasluck,6076,15434,16182,0.95,Outer Metropolitan
WA,Hasluck,6056,23551,25688,0.92,Outer Metropolitan
QLD,Herbert,4813,456,456,1,Provincial
QLD,Herbert,4816,995,5625,0.18,Provincial
QLD,Herbert,4819,1788,1788,1,Provincial
QLD,Herbert,4812,13157,13157,1,Provincial
QLD,Herbert,4815,13623,13759,0.99,Provincial
QLD,Herbert,4810,15000,15135,0.99,Provincial
QLD,Herbert,4818,17739,17739,1,Provincial
QLD,Herbert,4817,18810,20746,0.91,Provincial
QLD,Herbert,4814,23651,29495,0.8,Provincial
VIC,Higgins,3204,1247,20110,0.06,Inner Metropolitan
VIC,Higgins,3166,4792,14981,0.32,Inner Metropolitan
VIC,Higgins,3147,5278,9777,0.54,Inner Metropolitan
VIC,Higgins,3143,6565,6565,1,Inner Metropolitan
VIC,Higgins,3144,8058,8058,1,Inner Metropolitan
VIC,Higgins,3181,9363,14766,0.63,Inner Metropolitan
VIC,Higgins,3142,10352,10352,1,Inner Metropolitan
VIC,Higgins,3141,13422,16547,0.81,Inner Metropolitan
VIC,Higgins,3145,14303,15096,0.95,Inner Metropolitan
VIC,Higgins,3163,17020,19769,0.86,Inner Metropolitan
VIC,Higgins,3146,18150,18150,1,Inner Metropolitan
SA,Hindmarsh,5960,7,7,1,Inner Metropolitan
SA,Hindmarsh,5033,689,5658,0.12,Inner Metropolitan
SA,Hindmarsh,5045,760,12189,0.06,Inner Metropolitan
SA,Hindmarsh,5009,1055,3712,0.28,Inner Metropolitan
SA,Hindmarsh,5040,1891,1891,1,Inner Metropolitan
SA,Hindmarsh,5020,2514,2514,1,Inner Metropolitan
SA,Hindmarsh,5037,2547,7345,0.35,Inner Metropolitan
SA,Hindmarsh,5012,2710,6594,0.41,Inner Metropolitan
SA,Hindmarsh,5038,3662,10818,0.34,Inner Metropolitan
SA,Hindmarsh,5017,3696,3696,1,Inner Metropolitan
SA,Hindmarsh,5015,4512,4512,1,Inner Metropolitan
SA,Hindmarsh,5018,4653,4653,1,Inner Metropolitan
SA,Hindmarsh,5021,4905,4905,1,Inner Metropolitan
SA,Hindmarsh,5025,5618,6276,0.9,Inner Metropolitan
SA,Hindmarsh,5016,6789,6789,1,Inner Metropolitan
SA,Hindmarsh,5019,7117,7117,1,Inner Metropolitan
SA,Hindmarsh,5013,7172,7172,1,Inner Metropolitan
SA,Hindmarsh,5011,8157,8157,1,Inner Metropolitan
SA,Hindmarsh,5032,8313,9157,0.91,Inner Metropolitan
SA,Hindmarsh,5014,8996,8996,1,Inner Metropolitan
SA,Hindmarsh,5024,10576,10576,1,Inner Metropolitan
SA,Hindmarsh,5022,11965,11965,1,Inner Metropolitan
SA,Hindmarsh,5023,12283,12283,1,Inner Metropolitan
QLD,Hinkler,4671,214,4222,0.05,Provincial
QLD,Hinkler,4662,546,546,1,Provincial
QLD,Hinkler,4650,705,24472,0.03,Provincial
QLD,Hinkler,4659,3289,3289,1,Provincial
QLD,Hinkler,4660,5199,5199,1,Provincial
QLD,Hinkler,4655,43083,43083,1,Provincial
QLD,Hinkler,4670,49489,56624,0.87,Provincial
VIC,Holt,3806,327,32476,0.01,Outer Metropolitan
VIC,Holt,3978,603,943,0.64,Outer Metropolitan
VIC,Holt,3980,2317,2317,1,Outer Metropolitan
VIC,Holt,3912,2743,11219,0.24,Outer Metropolitan
VIC,Holt,3975,8235,8235,1,Outer Metropolitan
VIC,Holt,3976,14616,14616,1,Outer Metropolitan
VIC,Holt,3805,18352,36265,0.51,Outer Metropolitan
VIC,Holt,3977,52958,64416,0.82,Outer Metropolitan
VIC,Hotham,3800,327,327,1,Inner Metropolitan
VIC,Hotham,3172,2696,15911,0.17,Inner Metropolitan
VIC,Hotham,3148,2806,5358,0.52,Inner Metropolitan
VIC,Hotham,3171,5926,11827,0.5,Inner Metropolitan
VIC,Hotham,3149,6276,22176,0.28,Inner Metropolitan
VIC,Hotham,3167,6656,6656,1,Inner Metropolitan
VIC,Hotham,3168,7217,7217,1,Inner Metropolitan
VIC,Hotham,3166,10189,14981,0.68,Inner Metropolitan
VIC,Hotham,3169,12415,12415,1,Inner Metropolitan
VIC,Hotham,3170,12759,12759,1,Inner Metropolitan
VIC,Hotham,3165,19417,19417,1,Inner Metropolitan
VIC,Hotham,3150,20793,39262,0.53,Inner Metropolitan
NSW,Hughes,2508,38,6157,0.01,Outer Metropolitan
NSW,Hughes,2227,350,10422,0.03,Outer Metropolitan
NSW,Hughes,2172,1711,1711,1,Outer Metropolitan
NSW,Hughes,2230,1895,21273,0.09,Outer Metropolitan
NSW,Hughes,2225,3977,3977,1,Outer Metropolitan
NSW,Hughes,2170,8196,61708,0.13,Outer Metropolitan
NSW,Hughes,2173,8279,8279,1,Outer Metropolitan
NSW,Hughes,2226,8653,8653,1,Outer Metropolitan
NSW,Hughes,2233,21610,21610,1,Outer Metropolitan
NSW,Hughes,2232,23201.5,23323,0.99,Outer Metropolitan
NSW,Hughes,2234,23248,23248,1,Outer Metropolitan
NSW,Hume,2787,4,2951,0,Provincial
NSW,Hume,2707,70,931,0.08,Provincial
NSW,Hume,2582,157.5,8317,0.02,Provincial
NSW,Hume,2669,159,1435,0.11,Provincial
NSW,Hume,2556,655.5,1672,0.39,Provincial
NSW,Hume,2568,718,718,1,Provincial
NSW,Hume,2569,953,953,1,Provincial
NSW,Hume,2577,970.5,11101,0.09,Provincial
NSW,Hume,2581,1239.5,1596,0.78,Provincial
NSW,Hume,2560,1278,48569,0.03,Provincial
NSW,Hume,2586,1858,2124,0.87,Provincial
NSW,Hume,2578,1926,1926,1,Provincial
NSW,Hume,2745,2166,18806,0.12,Provincial
NSW,Hume,2579,2873,2873,1,Provincial
NSW,Hume,2572,2947,2947,1,Provincial
NSW,Hume,2583,3201,3201,1,Provincial
NSW,Hume,2573,3235,3235,1,Provincial
NSW,Hume,2752,3289,3289,1,Provincial
NSW,Hume,2574,3959,3963,1,Provincial
NSW,Hume,2575,4139,10265,0.4,Provincial
NSW,Hume,2571,7763,7763,1,Provincial
NSW,Hume,2567,14615,23440,0.62,Provincial
NSW,Hume,2580,19531,19807,0.99,Provincial
NSW,Hume,2570,22880.5,23509,0.97,Provincial
NSW,Hunter,2326,90,5098,0.02,Rural
NSW,Hunter,2311,90,589,0.15,Rural
NSW,Hunter,2421,124.5,1288,0.1,Rural
NSW,Hunter,2321,134,9824,0.01,Rural
NSW,Hunter,2287,676,24839,0.03,Rural
NSW,Hunter,2323,718.5,18361,0.04,Rural
NSW,Hunter,2320,939,22320,0.04,Rural
NSW,Hunter,2334,1701,1701,1,Rural
NSW,Hunter,2328,1753,1753,1,Rural
NSW,Hunter,2278,1940,1940,1,Rural
NSW,Hunter,2267,2172,2172,1,Rural
NSW,Hunter,2259,2300,36823,0.06,Rural
NSW,Hunter,2286,2609,2609,1,Rural
NSW,Hunter,2335,3653,3813,0.96,Rural
NSW,Hunter,2265,3943,3943,1,Rural
NSW,Hunter,2284,4542,7956,0.57,Rural
NSW,Hunter,2333,8668,8668,1,Rural
NSW,Hunter,2264,10102,10102,1,Rural
NSW,Hunter,2285,11468,21238,0.54,Rural
NSW,Hunter,2330,13206.5,13302,0.99,Rural
NSW,Hunter,2283,17752,17752,1,Rural
NSW,Hunter,2325,18425.5,18553,0.99,Rural
VIC,Indi,3898,40,372,0.11,Rural
VIC,Indi,3660,170,5657,0.03,Rural
VIC,Indi,3746,195,195,1,Rural
VIC,Indi,3711,196,196,1,Rural
VIC,Indi,3744,229,229,1,Rural
VIC,Indi,3725,250,250,1,Rural
VIC,Indi,3709,251,251,1,Rural
VIC,Indi,3715,256,256,1,Rural
VIC,Indi,3732,289,289,1,Rural
VIC,Indi,3712,299,299,1,Rural
VIC,Indi,3779,327,327,1,Rural
VIC,Indi,3739,332,332,1,Rural
