postcode,locality,state,long,lat,id,dc,type,status,electorate,classification
6532,CARRARANG,WA,115.004595,-28.440886,10861,GERALDTON DC,Delivery Area,Durack,Rural
6532,COBURN,WA,115.004595,-28.440886,10862,GERALDTON DC,Delivery Area,Durack,Rural
6532,COOLCALALAYA,WA,115.004595,-28.440886,10863,GERALDTON DC,Delivery Area,Durack,Rural
6532,DARTMOOR,WA,115.004595,-28.440886,10864,GERALDTON DC,Delivery Area,Durack,Rural
6532,DEEPDALE,WA,115.004595,-28.440886,10865,GERALDTON DC,Delivery Area,Durack,Rural
6532,DINDILOA,WA,115.004595,-28.440886,10866,GERALDTON DC,Delivery Area,Durack,Rural
6532,DRUMMOND COVE,WA,115.004595,-28.440886,10867,GERALDTON DC,Delivery Area,Durack,Rural
6532,DURAWAH,WA,115.004595,-28.440886,10868,GERALDTON DC,Delivery Area,Durack,Rural
6532,EAST CHAPMAN,WA,115.004595,-28.440886,10869,GERALDTON DC,Delivery Area,Durack,Rural
6532,EAST NABAWA,WA,115.004595,-28.440886,10870,GERALDTON DC,Delivery Area,Durack,Rural
6532,EAST YUNA,WA,115.004595,-28.440886,10871,GERALDTON DC,Delivery Area,Durack,Rural
6532,ELLENDALE,WA,115.004595,-28.440886,10872,GERALDTON DC,Delivery Area,Durack,Rural
6532,ERADU,WA,115.004595,-28.440886,10873,GERALDTON DC,Delivery Area,Durack,Rural
6532,ERADU SOUTH,WA,115.004595,-28.440886,10874,GERALDTON DC,Delivery Area,Durack,Rural
6532,EURARDY,WA,115.004595,-28.440886,10875,GERALDTON DC,Delivery Area,Durack,Rural
6532,GEORGINA,WA,115.004595,-28.440886,10876,GERALDTON DC,Delivery Area,Durack,Rural
6532,GLENFIELD,WA,115.004595,-28.440886,10877,GERALDTON DC,Delivery Area,Durack,Rural
6532,GREENOUGH,WA,115.004595,-28.440886,10878,GERALDTON DC,Delivery Area,Durack,Rural
6532,HAMELIN POOL,WA,115.004595,-28.440886,10879,GERALDTON DC,Delivery Area,Durack,Rural
6532,HICKETY,WA,115.004595,-28.440886,10880,GERALDTON DC,Delivery Area,Durack,Rural
6532,HOWATHARRA,WA,115.004595,-28.440886,10881,GERALDTON DC,Delivery Area,Durack,Rural
6532,KOJARENA,WA,115.004595,-28.440886,10882,GERALDTON DC,Delivery Area,Durack,Rural
6532,MARRAH,WA,115.004595,-28.440886,10883,GERALDTON DC,Delivery Area,Durack,Rural
6532,MEADOW,WA,115.004595,-28.440886,10884,GERALDTON DC,Delivery Area,Durack,Rural
6532,MINNENOOKA,WA,115.004595,-28.440886,10885,GERALDTON DC,Delivery Area,Durack,Rural
6532,MOONYOONOOKA,WA,115.004595,-28.440886,10886,GERALDTON DC,Delivery Area,Durack,Rural
6532,MOUNT ERIN,WA,115.004595,-28.440886,10887,GERALDTON DC,Delivery Area,Durack,Rural
6532,NABAWA,WA,115.004595,-28.440886,10888,GERALDTON DC,Delivery Area,Durack,Rural
6532,NANSON,WA,115.004595,-28.440886,10889,GERALDTON DC,Delivery Area,Durack,Rural
6532,NARALING,WA,115.004595,-28.440886,10890,GERALDTON DC,Delivery Area,Durack,Rural
6532,NARNGULU,WA,115.004595,-28.440886,10891,GERALDTON DC,Delivery Area,Durack,Rural
6532,NARRA TARRA,WA,115.004595,-28.440886,10892,GERALDTON DC,Delivery Area,Durack,Rural
6532,NERREN NERREN,WA,115.004595,-28.440886,10893,GERALDTON DC,Delivery Area,Durack,Rural
6532,NOLBA,WA,115.004595,-28.440886,10894,GERALDTON DC,Delivery Area,Durack,Rural
6532,NORTH ERADU,WA,115.004595,-28.440886,10895,GERALDTON DC,Delivery Area,Durack,Rural
6532,NORTHERN GULLY,WA,115.004595,-28.440886,10896,GERALDTON DC,Delivery Area,Durack,Rural
6434,RAWLINNA,WA,125.672818,-30.820157,10897,KALGOORLIE DC,Delivery Area,O'Connor,Rural
6434,ZANTHUS,WA,125.672818,-30.820157,10898,KALGOORLIE DC,Delivery Area,O'Connor,Rural
6435,AGNEW,WA,120.44875,-28.219307,10899,NULL,NULL,O'Connor,Rural
6436,MENZIES,WA,124.856838,-29.602251,10900,MENZIES CPA,Delivery Area,O'Connor,Rural
6436,ULARRING,WA,124.856838,-29.602251,10901,MENZIES CPA,Delivery Area,O'Connor,Rural
6437,LEINSTER,WA,120.529798,-27.68439,10902,LEINSTER LPO,Delivery Area,O'Connor,Rural
6437,SIR SAMUEL,WA,120.529798,-27.68439,10903,NULL,NULL,O'Connor,Rural
6438,LAKE DARLOT,WA,121.092655,-28.900034,10904,LEONORA LPO,Delivery Area,O'Connor,Rural
6438,LEONORA,WA,121.092655,-28.900034,10905,LEONORA LPO,Delivery Area,O'Connor,Rural
6440,BANDYA,WA,125.733157,-26.168944,10906,LAVERTON LPO,Delivery Area,O'Connor,Rural
6440,BEADELL,WA,125.733157,-26.168944,10907,LAVERTON LPO,Delivery Area,O'Connor,Rural
6440,BURTVILLE,WA,125.733157,-26.168944,10908,NULL,NULL,O'Connor,Rural
6440,COSMO NEWBERY,WA,125.733157,-26.168944,10909,LAVERTON LPO,Delivery Area,O'Connor,Rural
6440,LAKE WELLS,WA,125.733157,-26.168944,10910,LAVERTON LPO,Delivery Area,O'Connor,Rural
6440,LAVERTON,WA,125.733157,-26.168944,10911,LAVERTON LPO,Delivery Area,O'Connor,Rural
6440,NEALE,WA,125.733157,-26.168944,10912,LAVERTON LPO,Delivery Area,O'Connor,Rural
6442,KAMBALDA,WA,121.997641,-31.318648,10913,KAMBALDA LPO,Delivery Area,O'Connor,Rural
